location,avg_total_cases,avg_total_deaths,avg_death_to_case_ratio
France,20998130.676664665,117784.13317336532,20.701490556316692
Mauritania,41623.90461907619,728.488902219556,0.5944630929600215
Yemen,8332.134973005399,1560.5692861427715,0.2002395637915892
Sudan,45163.63407318536,3438.8008398320335,0.08117971629700599
Germany,19864763.20035993,113477.48290341931,0.07412447254376259
Peru,2859444.9070185963,168920.81223755248,0.0729397441723241
Mexico,4706423.974205159,251308.98620275944,0.06849400593221334
European Union (27),101998282.34433113,850758.800239952,0.05863501102620838
Syria,38449.06118776245,2191.8350329934015,0.05722147580615636
Egypt,356355.8344331134,17840.46850629874,0.05054969154767824
Zimbabwe,164508.4703059388,3803.2591481703657,0.04987439280692282
Europe,140964415.90881824,1407552.0113977205,0.04955691366640284
Ecuador,673059.9910017996,26728.204559088183,0.04646322119978192
Somalia,18965.74145170966,949.2135572885423,0.04612430273810125
Liberia,5449.115176964607,216.81523695260947,0.04497009417492723
Niger,6663.125374925015,233.1499700059988,0.04265661854656456
United Kingdom,14753191.896820636,165553.9424115177,0.04212969679432102
High-income countries,234289657.77144572,1969354.9424115177,0.040254265154622215
Bosnia and Herzegovina,270395.9982003599,11146.215956808637,0.04006304202323242
Afghanistan,146576.17456508699,5654.805638872225,0.03765989121572319
Hungary,1354692.6796640672,32882.50449910018,0.03554608122023511
Chad,5446.114577084583,156.40911817636473,0.03551778691417423
Bulgaria,805050.3209358129,25342.849430113976,0.03397714119861676
Montenegro,157784.57768446312,1810.6700659868027,0.03357817826742761
North Macedonia,227200.19856028794,6923.715656868626,0.03291225079778091
Malawi,59659.03599280144,1850.2957408518296,0.031794076400515556
Guyana,44648.34373125375,840.1427714457109,0.03172697157905518
Italy,13994761.451709658,135213.40191961607,0.031244300708066025
Mali,21564.963407318537,540.491301739652,0.030656808147123318
Algeria,191677.1727654469,5015.657468506299,0.030621877208865594
Indonesia,4274797.892621475,109118.97420515897,0.03046268679201246
Philippines,2617262.0491901617,42577.05278944211,0.03010245720690509
Nicaragua,10899.373125374925,194.46310737852428,0.029979909206615852
Bolivia,727327.826034793,16578.041391721657,0.02985164772131299
Bahamas,24448.02099580084,553.2909418116377,0.029239431150952046
Myanmar,418339.9628074385,13054.831433713258,0.02920004090320679
Democratic Republic of Congo,64111.91961607678,1066.5512897420515,0.02908295208892589
Tunisia,734861.5194961007,20039.90521895621,0.02881642443916349
Iran,5065295.218956209,104564.50389922016,0.028787652823781852
Tanzania,25308.316136772646,540.3977204559088,0.027517027849411103
South America,43793778.877624474,982271.6850629874,0.0275138229533519
Belgium,2829916.74805039,25825.16076784643,0.02733442419087713
Montserrat,671.9850029994001,4.313137372525495,0.026907417371421133
Honduras,324226.97900419915,7993.780443911218,0.026751820995320516
Gambia,8883.69226154769,265.2993401319736,0.02666187057871984
Paraguay,478629.549490102,13380.174565086983,0.026365753357807043
Trinidad and Tobago,107871.16136772645,2569.9622075584884,0.026341428859074766
World,426076035.4031194,4775383.134373126,0.02631559043778796
South Africa,2797124.9916016795,73781.27414517096,0.026268833185694757
Romania,2104424.834433113,45831.28134373125,0.02626799591246358
Low-income countries,1288450.9586082783,30294.12897420516,0.026198166861129926
Haiti,23662.19076184763,603.1709658068386,0.026044267512308556
Antigua and Barbuda,5335.27174565087,92.26754649070186,0.02537470094700689
Sint Maarten (Dutch part),6751.5974805038995,62.61427714457108,0.025248923363463995
El Salvador,128992.50689862028,3014.4481103779244,0.024972243946180115
Colombia,4448143.775644871,103389.66646670667,0.02460174418409947
Brazil,24002331.711457707,504270.3599280144,0.024540911415982258
Isle of Man,21231.070185962806,77.1871625674865,0.0237791486593211
Lesotho,22799.13677264547,490.59748050389925,0.023736064083036044
Guatemala,724252.4733053389,13526.36472705459,0.02343273897293352
Spain,8514925.002399521,89189.43311337732,0.023390165209712935
Africa,8713176.212957408,183048.5878824235,0.023228213112774527
China,35449340.54829034,47044.18596280744,0.0232115343677536
Comoros,5820.188362327534,120.69166166766647,0.023130394649858416
Upper-middle-income countries,129739983.52189562,1947087.7774445112,0.022782340443994402
Moldova,395229.6880623875,8300.971205758848,0.022362822713172283
Poland,4176412.6598680266,81773.7102579484,0.022309276166315478
Jamaica,96696.69886022796,2185.0659868026396,0.02198188045863071
Angola,68199.82603479305,1323.2927414517096,0.02191347747280107
Argentina,6444324.26874625,96243.36712657468,0.021816434173012832
Burkina Faso,15417.353929214158,267.9532093581284,0.021300285045887206
Sweden,1710288.4007198561,16924.21955608878,0.021278309241793632
Eswatini,48441.13857228554,994.2345530893821,0.021186767017470482
Senegal,62677.175164967004,1426.4781043791243,0.02106022096366363
Suriname,51419.1523695261,907.6940611877625,0.0209921875833888
Canada,2778486.6148770247,34127.83203359328,0.02052786791487161
Sierra Leone,5748.053389322135,101.50149970006,0.020471548318545925
North America,75706181.61127774,1121138.4979004199,0.020281404609490804
Ethiopia,343946.72165566887,5307.877024595081,0.020103208964331994
Ukraine,3475181.1337732454,71680.85602879424,0.020021497543082238
Belize,41980.331133773245,471.49130173965204,0.0199894098447736
Pakistan,1123772.8464307138,22604.929214157168,0.01995686526215727
Namibia,114722.05278944211,2728.903419316137,0.01961748127958708
Armenia,307488.4979004199,6071.048590281944,0.018925915009592998
Kenya,236598.32393521295,4072.6760647870424,0.018886067870644178
Netherlands,5044863.49730054,17711.296340731853,0.018870717203140916
Sri Lanka,439927.3407318536,10658.620275944812,0.018684126308292838
Madagascar,47212.82963407318,974.129574085183,0.018627754669868418
Russia,13525624.139172165,256317.0299940012,0.01860534493717244
British Virgin Islands,4302.873425314937,39.233353329334136,0.018458265213570548
San Marino,13639.511097780443,94.1619676064787,0.018166174195838318
Guinea-Bissau,6375.851229754049,122.08338332333533,0.01803398265564853
Lower-middle-income countries,60125526.25314937,826333.6190761848,0.017803263006343984
Uganda,114132.67546490702,2417.4559088182364,0.017555609409757818
Cameroon,88249.00299940012,1418.0311937612478,0.01736199568910549
Jersey,35648.578884223156,103.55968806238752,0.017340841539454768
Croatia,779157.2405518896,11614.616076784643,0.017321211696309673
Bermuda,10466.17276544691,97.32213557288543,0.017298842645853116
Greece,2786055.8932213555,22324.44931013797,0.017083903821630157
Fiji,42938.43611277745,547.0515896820635,0.01696815068222862
United States,63101635.06538692,776166.401919616,0.016916212025420718
Kosovo,174392.98080383922,2356.3539292141572,0.016696786222771758
Congo,17327.12417516497,268.7612477504499,0.01665995260680015
Chile,3019715.794841032,41652.18956208758,0.016496995638977816
Slovenia,751180.0701859628,6119.233353329334,0.01643198424770466
Ireland,1002666.172765447,6176.1097780443915,0.016192251733234676
Bangladesh,1403718.1631673665,20967.19676064787,0.01613448332999822
Albania,211931.45350929815,2576.4535092981405,0.016064287362569273
Iraq,1709270.4169166167,19139.927414517097,0.01606333428003737
Puerto Rico,634407.2495500899,3700.981403719256,0.016032592110062957
Morocco,867238.6574685063,11809.643671265747,0.015979829102248
Guernsey,18002.994601079783,39.529094181163764,0.015690668485362397
Cambodia,89679.24175164966,1970.8026394721055,0.015557225125604642
Zambia,222666.0401919616,2806.119976004799,0.015331183114146302
Libya,338164.5662867426,4441.71025794841,0.015300343281515683
Slovakia,1105405.853029394,14063.299340131975,0.01470271951274512
Sao Tome and Principe,4260.901619676065,53.94421115776844,0.014454768347176707
Guadeloupe,111917.10677864427,657.8146370725855,0.014336386063543044
Barbados,56308.38872225555,318.8536292741452,0.01424829719602147
Northern Mariana Islands,7410.681463707258,22.540491901619678,0.014183346686616157
Nigeria,193571.10797840432,2392.886022795441,0.013856713266913508
India,31052306.445110977,379676.4889022196,0.013693102524237655
Czechia,2891416.4205158968,30084.490101979605,0.013067098372752843
Kazakhstan,972899.9340131973,13030.126574685062,0.013048013660757442
Panama,649225.1919616077,6467.772045590882,0.012938324588729105
Curacao,27759.09298140372,188.33473305338933,0.012783809444264639
Azerbaijan,547492.3473305339,6863.665866826635,0.012661452712101878
Saudi Arabia,599419.5860827834,7525.386322735453,0.012590138848817723
Guam,29492.03119376125,265.2981403719256,0.012564759027683458
Austria,3158928.8146370724,15008.52549490102,0.01256420387779204
Asia,150004108.6574685,1067153.1127774445,0.012540641158225438
Portugal,3140913.9544091183,18549.08218356329,0.012535690388870592
Latvia,542099.474505099,4522.793041391722,0.012267649253184822
Saint Lucia,17497.759448110377,249.09238152369525,0.012234580818734108
Finland,783101.2477504499,5088.760647870426,0.01217075731131192
Papua New Guinea,29209.365926814637,414.2207558488302,0.012028649374246836
Switzerland,2485190.021595681,10382.748050389922,0.01199105289290605
Saint Martin (French part),7206.449910017996,32.0,0.011982559159913683
Lithuania,771123.199160168,6316.433113377325,0.011850541985050537
Togo,25575.565086982602,199.39052189562088,0.011835692123696
Martinique,122747.00599880025,654.9418116376725,0.011812044418435523
Equatorial Guinea,12086.92621475705,139.1985602879424,0.011688777455161345
Djibouti,11829.951409718056,143.34253149370127,0.011553846620023348
Botswana,203823.91421715656,1853.001799640072,0.011478590048413284
Uruguay,612749.1163767247,5084.991601679664,0.011450749226547258
Kyrgyzstan,55393.299340131976,640.0749850029994,0.01142513345317483
Cuba,711641.6112777444,5538.45950809838,0.011346654044641916
Lebanon,791419.349730054,7605.085782843431,0.011151607830852102
United States Virgin Islands,14080.947210557888,82.35752849430114,0.011114194457676387
Venezuela,371152.8848230354,4001.7894421115775,0.011107669097301315
Andorra,29214.658668266347,124.00419916016797,0.011092058064350176
Turks and Caicos Islands,4208.407318536293,25.651469706058787,0.011080731478201109
Dominican Republic,439589.88122375525,3485.54349130174,0.011069562251171373
Oman,284583.12357528496,3387.7948410317936,0.011010513200002792
Grenada,10829.962807438513,142.9856028794241,0.010736608166990643
Georgia,1100817.8320335932,10944.833833233353,0.010647482663533036
Nepal,695297.3605278945,8513.350929814038,0.010592759899654237
Australia,5543538.040191961,10712.721655668865,0.010505466850775611
Rwanda,86810.29094181163,980.3599280143972,0.010175324140783976
South Sudan,12823.580083983203,110.31613677264546,0.010124905779183731
Guinea,27914.254349130173,315.53269346130776,0.010086710417237214
Japan,14598400.529094182,35891.22795440912,0.010050631088505929
Serbia,1511211.6838632273,11391.26574685063,0.009795681003297186
Jordan,1121885.8890221955,9934.127174565087,0.009667694347857844
Mauritius,160623.19676064787,602.7738452309538,0.009481407483961889
Costa Rica,719722.4805038993,6200.218956208758,0.00944609542453165
Mozambique,152646.2873425315,1524.9196160767847,0.009370965765429756
Malta,70072.14937012598,563.4625074985003,0.009286182855911436
Denmark,1898690.3185362928,5101.839832033594,0.009281828797744154
Cayman Islands,16700.941811637673,19.464307138572284,0.009085397279210776
Saint Vincent and the Grenadines,5844.949610077984,71.52729454109178,0.00894536595221107
Turkey,10483574.621475704,68282.3353329334,0.008913741901388035
Vietnam,6099251.020395921,25783.848230353928,0.008798141835946356
Cote d'Ivoire,61500.091181763644,563.0791841631674,0.008665991370380854
Thailand,2696634.347330534,19804.272945410918,0.008581765744377062
Aruba,26504.44271145771,176.25854829034193,0.008539321408870058
Liechtenstein,11901.968806238752,61.59208158368326,0.00852709198719207
Benin,18583.610677864428,120.51709658068387,0.008520740060743819
Palestine,465530.03299340134,4022.709058188362,0.008511828119955524
Oceania,6894374.134973005,14219.239352129574,0.00842670522313879
Malaysia,2990659.7102579484,23077.945410917815,0.008041681687225171
Central African Republic,11283.134373125375,89.89622075584883,0.00790488639079054
Estonia,354519.0233953209,1812.014397120576,0.0076075461570024655
Gibraltar,12151.784643071385,81.28374325134973,0.007583317500906051
Cape Verde,41917.3125374925,294.71625674865027,0.0075556802816743015
French Polynesia,49428.16436712658,434.2135572885423,0.007548141210421171
Tajikistan,14537.080383923216,103.23575284943011,0.007514288328910643
Gabon,33735.604679064185,213.87942411517696,0.007400603950295592
Ghana,122850.36592681464,1027.8488302339533,0.00733767591237792
Belarus,656195.2231553689,4760.377324535093,0.0072591287348731555
Eritrea,6816.184163167367,63.56568686262747,0.007090130997454875
South Korea,15246333.438512297,17471.3425314937,0.007001560977751276
Monaco,9257.046190761848,42.42651469706059,0.0068341671584412
Luxembourg,209205.01139772046,660.371925614877,0.00680773812135422
Norway,840504.0671865627,2855.8566286742653,0.006779243427888076
Mayotte,27268.64427114577,144.71025794841032,0.006650985938744859
Wallis and Futuna,1561.0257948410317,5.1955608878224355,0.006350136931046472
Brunei,145526.80683863227,85.67306538692262,0.005799352977277418
New Zealand,1081294.5170965807,1445.0641871625676,0.005664323709496853
Bonaire Sint Eustatius and Saba,6585.9676064787045,25.009598080383924,0.0053924152827027035
Uzbekistan,103875.56808638273,632.381523695261,0.0051786388523673696
Solomon Islands,11765.566886622675,88.94001199760048,0.005115642374875799
Saint Kitts and Nevis,3782.6952609478103,26.767846430713856,0.005033995039422499
Cyprus,355518.02879424114,797.8458308338332,0.004861959300805475
Israel,2793254.4277144573,8369.708458308338,0.004844674972301585
French Guiana,59890.37852429514,274.251349730054,0.0047778389776903475
Kuwait,449093.6466706659,1929.8926214757048,0.004684902351261189
New Caledonia,41617.17876424715,189.9274145170966,0.004249302016231878
Kiribati,2369.2687462507497,10.214157168566286,0.004166413572558678
East Timor,15142.496700659867,86.53509298140372,0.004117413823572171
American Samoa,4100.5182963407315,16.779244151169767,0.003345626356482477
Dominica,8806.371325734854,41.813437312537495,0.0032679474191717292
Reunion,262781.3623275345,536.8524295140971,0.00320164560499168
Seychelles,30103.91601679664,108.79424115176964,0.0030670247961897858
Bahrain,424281.21715656866,1103.0707858428314,0.0030189229043420893
United Arab Emirates,713766.4967006599,1744.7198560287943,0.0029751196926023965
Burundi,30397.718656268746,10.44391121775645,0.0027513245705897277
Micronesia (country),10452.62927414517,25.998200359928013,0.0022743737921837133
Maldives,116152.55188962207,213.3137372525495,0.0021989574350354756
Laos,121473.13017396521,380.1031793641272,0.002115234391172471
Iceland,111744.80263947211,96.9610077984403,0.0021111986393610544
Anguilla,2126.4619076184763,6.410917816436712,0.0019519282370095588
Mongolia,598677.8740251949,1347.0743851229754,0.0019270155546775593
Qatar,324161.5194961008,515.9826034793041,0.001641268228577742
Palau,3119.502699460108,4.419316136772646,0.001190225758250931
Samoa,8135.321535692861,14.8500299940012,0.0011604125937307143
Greenland,6710.115776844631,11.262147570485903,0.0009917629668694152
Singapore,1257659.6640671866,996.2345530893821,0.0008908465182135556
Faroe Islands,19285.19376124775,16.049190161967605,0.0008763418084421862
Saint Barthelemy,3151.002399520096,3.0641871625674866,0.0008180590095701187
Vanuatu,5905.073185362928,6.983203359328134,0.0007453352190767119
Tonga,8094.961007798441,6.079184163167366,0.0006651682831374353
Marshall Islands,6746.482903419316,7.224355128974206,0.0005858871668698557
Bhutan,32357.76124775045,11.287342531493701,0.00044149508925721493
Saint Pierre and Miquelon,1723.8368326334733,0.9040191961607679,0.0003117565498999334
Cook Islands,3438.230953809238,0.8200359928014397,0.000221593727571638
Nauru,2344.2669466106777,0.45410917816436713,0.00017485748707064312
Tuvalu,1074.004199160168,0.24415116976604678,0.00017308417717185607
Tokelau,19.10377924415117,0.0,0.0
Vatican,22.89262147570486,0.0,0.0
Saint Helena,868.0227954409119,0.0,0.0
Niue,319.7636472705459,0.0,0.0
Falkland Islands,941.1775644871026,0.0,0.0
